Color ID	Color Name	RGB	Type	Parts	In Sets	Wanted	For Sale	Year From	Year To

0	(Not Applicable)		N/A	4724	12608	64872	11432	1954	2022
41	Aqua	BCE5DC	Solid	82	60	1329	127	1998	2006
11	Black	212121	Solid	11163	11941	15914	11464	1957	2022
7	Blue	0057A6	Solid	3871	7994	6967	4265	1950	2022
97	Blue-Violet	506CEF	Solid	38	19	790	63	2004	2005
36	Bright Green	10CB31	Solid	605	1814	2293	682	1950	2022
105	Bright Light Blue	BCD1ED	Solid	433	500	1419	464	2004	2022
110	Bright Light Orange	FFC700	Solid	1043	1527	2646	1127	2000	2022
103	Bright Light Yellow	FEED83	Solid	414	752	1932	456	2004	2022
104	Bright Pink	F7BCDA	Solid	567	1134	1465	627	2003	2022
8	Brown	6B3F22	Solid	581	1089	3294	909	1974	2006
227	Clikits Lavender	E0AAD9	Solid	10	12	318	14	2005	2005
220	Coral	FF8172	Solid	160	234	566	166	2019	2022
153	Dark Azure	009FE0	Solid	650	835	1759	679	2000	2022
63	Dark Blue	243757	Solid	2061	1979	4126	2135	1961	2022
109	Dark Blue-Violet	2032B0	Solid	9	7	909	17	2004	2006
85	Dark Bluish Gray	595D60	Solid	3702	6135	7353	4100	1991	2022
120	Dark Brown	50372F	Solid	696	1541	2729	737	2008	2022
10	Dark Gray	6B5A5A	Solid	1054	1699	3986	1434	1961	2006
80	Dark Green	2E5543	Solid	860	963	2921	944	1961	2022
225	Dark Nougat	CE7942	Solid	3	10	694	21	2001	2004
68	Dark Orange	B35408	Solid	699	1573	2213	752	1985	2022
47	Dark Pink	EF5BB3	Solid	716	1157	1473	774	1994	2022
89	Dark Purple	5F2683	Solid	954	1141	2123	1043	2000	2022
59	Dark Red	6A0E15	Solid	1557	1711	3787	1651	1961	2022
231	Dark Salmon	FF6326	Solid	5	4	82	5	2003	2003
69	Dark Tan	B89869	Solid	1021	2187	2954	1063	1961	2022
39	Dark Turquoise	00A29F	Solid	577	636	1498	632	1998	2022
161	Dark Yellow	DD982E	Solid	4	4	583	22	2004	2005
29	Earth Orange	E6881D	Solid	37	87	874	54	1982	2005
106	Fabuland Brown	B3694E	Solid	7	26	1142	22	1979	1997
160	Fabuland Orange	EF9121	Solid	2	3	430	3	1983	1987
6	Green	00923D	Solid	1978	5068	4544	2258	1949	2022
154	Lavender	D3BDE3	Solid	306	430	793	356	2011	2022
152	Light Aqua	CFEFEA	Solid	427	489	898	447	2011	2022
62	Light Blue	C8D9E1	Solid	27	27	779	105	1950	2007
86	Light Bluish Gray	AFB5C7	Solid	4242	6648	7844	4768	1993	2022
91	Light Brown	99663E	Solid	40	28	1474	80	2002	2006
9	Light Gray	9C9C9C	Solid	1858	3196	5366	2389	1954	2008
38	Light Green	D7EED1	Solid	67	61	602	108	1992	2005
35	Light Lime	ECEEBD	Solid	20	16	378	47	1992	2007
90	Light Nougat	FECCB0	Solid	1623	1603	3027	1611	2004	2022
32	Light Orange	F7AD63	Solid	18	18	422	57	1998	2004
56	Light Pink	FFE1FF	Solid	3	4	449	51	1999	2007
93	Light Purple	DA70D6	Solid	26	18	540	58	2003	2006
26	Light Salmon	FCC7B7	Solid	50	21	455	54	1997	2002
40	Light Turquoise	00C5BC	Solid	58	40	668	82	1998	2004
44	Light Violet	C9CAE2	Solid	70	39	342	86	1994	2004
33	Light Yellow	FFE383	Solid	94	71	1175	151	1994	2011
34	Lime	C4E000	Solid	1635	2401	2785	1782	1982	2022
72	Maersk Blue	7DC1D8	Solid	84	14	610	104	1974	2011
71	Magenta	B72276	Solid	556	893	1385	606	2000	2022
156	Medium Azure	6ACEE0	Solid	794	1295	1718	851	2012	2022
42	Medium Blue	82ADD8	Solid	791	1096	1976	890	1949	2022
240	Medium Brown	A16C42	Solid	6	5	52	6	2022	2022
94	Medium Dark Pink	F785B1	Solid	14	6	354	54	1992	1993
37	Medium Green	91DF8C	Solid	122	102	668	134	1950	2004
157	Medium Lavender	C689D9	Solid	442	621	877	463	2012	2022
76	Medium Lime	DFE000	Solid	65	38	486	77	1998	2005
150	Medium Nougat	E3A05B	Solid	864	1387	2015	908	2010	2022
31	Medium Orange	FFA531	Solid	131	114	983	166	1950	2008
241	Medium Tan	D9C594	Solid	4	2	7		2022	2022
73	Medium Violet	9391E4	Solid	17	23	363	18	1999	2005
166	Neon Green	DBF355	Solid			336	5		
165	Neon Orange	FA5947	Solid			316	5		
236	Neon Yellow	FFFC00	Solid	62	26	138	57	2022	2022
28	Nougat	FFAF7D	Solid	236	274	1308	268	1979	2022
155	Olive Green	ABA953	Solid	522	444	1970	556	2012	2022
4	Orange	FF7E14	Solid	1952	3242	3969	2086	1993	2022
23	Pink	FFC0CB	Solid	120	78	921	218	1991	2005
24	Purple	A5499C	Solid	137	127	1359	249	1996	2008
5	Red	B30006	Solid	7405	10120	11464	7814	1949	2022
88	Reddish Brown	82422A	Solid	1959	4052	4115	2202	1961	2022
27	Rust	B24817	Solid	12	20	1501	29	1979	2005
25	Salmon	FF7D5D	Solid	85	27	413	92	1997	1999
55	Sand Blue	8899AB	Solid	644	585	1886	688	2001	2022
48	Sand Green	A2BFA3	Solid	594	637	1760	642	1964	2022
54	Sand Purple	B57DA5	Solid	20	5	393	26	2001	2002
58	Sand Red	C58D80	Solid	39	18	465	48	2001	2004
87	Sky Blue	8AD4E1	Solid	33	28	740	39	2003	2007
2	Tan	EED9A4	Solid	2267	4478	5103	2511	1958	2022
99	Very Light Bluish Gray	E4E8E8	Solid	51	48	1890	100	2004	2013
49	Very Light Gray	E8E8E8	Solid	21	23	1330	65	1997	2004
96	Very Light Orange	FFDCA4	Solid	10	3	453	18	2000	2003
43	Violet	3448A4	Solid	79	44	576	91	1992	2004
1	White	FFFFFF	Solid	13655	10243	19808	13823	1949	2022
3	Yellow	FFE001	Solid	6472	9914	10185	7359	1949	2022
158	Yellowish Green	E7F2A7	Solid	180	253	524	195	2012	2022
113	Trans-Aqua	B7C8BF	Transparent	39	38	389	48	2003	2006
13	Trans-Black	939484	Transparent	448	1728	1267	515	1999	2022
108	Trans-Bright Green	10Cb31	Transparent	157	463	639	197	2006	2022
12	Trans-Clear	EEEEEE	Transparent	965	4889	2876	1190	1950	2022
14	Trans-Dark Blue	00296B	Transparent	259	1654	1147	321	1978	2022
50	Trans-Dark Pink	CE1d9b	Transparent	227	675	599	259	1998	2022
20	Trans-Green	217625	Transparent	137	1449	647	185	1969	2022
15	Trans-Light Blue	68BCC5	Transparent	773	2778	1781	887	1985	2022
226	Trans-Light Bright Green	71EB54	Transparent	26	18	128	43	2003	2006
221	Trans-Light Green	94E5AB	Transparent	11	5	163	21	2005	2006
164	Trans-Light Orange	E99A3A	Transparent	42	22	341	82	2003	2006
114	Trans-Light Purple	B97AB1	Transparent	20	18	213	28	2005	2006
74	Trans-Medium Blue	7384A5	Transparent	106	210	932	152	2001	2018
234	Trans-Medium Purple	9C41B6	Transparent	38	36	75	41	2003	2006
16	Trans-Neon Green	C0F500	Transparent	233	1125	763	290	1990	2022
18	Trans-Neon Orange	FF4231	Transparent	241	1037	802	323	1993	2022
121	Trans-Neon Yellow	FFD700	Transparent	28	37	400	75	2001	2006
98	Trans-Orange	D04010	Transparent	206	1893	700	263	2003	2022
107	Trans-Pink	FF8298	Transparent	68	44	249	82	2003	2006
51	Trans-Purple	5525B7	Transparent	131	356	537	162	2000	2022
17	Trans-Red	9C0010	Transparent	211	3626	1073	269	1969	2022
19	Trans-Yellow	EBF72D	Transparent	210	2416	861	273	1969	2022
57	Chrome Antique Brass	645a4c	Chrome	3	16	357	4	2001	2005
122	Chrome Black	544E4F	Chrome	11	1	1194	14	2009	2009
52	Chrome Blue	5C66A4	Chrome	5	14	391	12	1998	2006
21	Chrome Gold	f1f2e1	Chrome	52	281	1611	53	1989	2022
64	Chrome Green	3CB371	Chrome	1	2	347	6	1999	1999
82	Chrome Pink	aa4d8e	Chrome	1	10	199	7	2001	2007
22	Chrome Silver	DCDCDC	Chrome	105	561	2133	168	1966	2018
237	Bionicle Copper	985750	Pearl	2	1	38	3	2001	2001
238	Bionicle Gold	B9752F	Pearl	6	3	42	6	2002	2002
239	Bionicle Silver	A59287	Pearl	6	3	45	7	2002	2002
84	Copper	AC6D52	Pearl	38	52	1004	59	2004	2020
81	Flat Dark Gold	AD7118	Pearl	49	47	857	137	2002	2006
95	Flat Silver	8D949C	Pearl	918	2757	2717	1072	2000	2022
78	Metal Blue	5686AE	Pearl	45	25	349	49	2002	2009
77	Pearl Dark Gray	666660	Pearl	683	1060	2620	751	2002	2022
115	Pearl Gold	E79E1D	Pearl	1014	2129	2604	1104	2004	2022
61	Pearl Light Gold	E7AE5A	Pearl	14	8	426	56	2000	2005
66	Pearl Light Gray	ACB7C0	Pearl	435	631	1626	606	1993	2013
119	Pearl Very Light Gray	D4D2CD	Pearl	19	13	531	41	2002	2004
83	Pearl White	FFFFFF	Pearl	3	5	450	14	2003	2006
235	Reddish Gold	E7891B	Pearl	26	26	67	25	2003	2005
229	Satin Trans-Black	939484	Satin	4	9	45	4	2020	2021
233	Satin Trans-Bright Green	7fe15b	Satin	4	3	35	5	2021	2022
228	Satin Trans-Clear	FFFFFF	Satin	11	32	158	11	2020	2022
232	Satin Trans-Dark Blue	1552e2	Satin	6	5	49	9	2021	2022
224	Satin Trans-Dark Pink	CE1d9b	Satin	7	18	53	7	2020	2022
223	Satin Trans-Light Blue	68BCC5	Satin	26	53	102	31	2020	2022
230	Satin Trans-Purple	8320B7	Satin	1	5	41	2	2020	2020
65	Metallic Gold	B8860B	Metallic	104	271	1349	184	1997	2022
70	Metallic Green	bdb573	Metallic	31	10	369	36	2001	2018
67	Metallic Silver	C0C0C0	Metallic	184	664	2267	256	1957	2022
46	Glow In Dark Opaque	d4d5c9	Milky	55	88	601	106	1990	2011
118	Glow In Dark Trans	bdc6ad	Milky	16	22	330	19	2005	2011
159	Glow In Dark White	d9d9d9	Milky	66	71	867	83	2012	2022
60	Milky White	d4d3dd	Milky	26	144	532	57	1963	2008
101	Glitter Trans-Clear	b2adaa	Glitter	16	29	161	20	1999	2022
100	Glitter Trans-Dark Pink	CE1d9b	Glitter	12	39	137	18	1999	2022
162	Glitter Trans-Light Blue	68BCC5	Glitter	17	27	119	21	2015	2022
163	Glitter Trans-Neon Green	C0F500	Glitter	1	8	114	1	2015	2018
222	Glitter Trans-Orange	D04010	Glitter	1	1	68	1	2020	2020
102	Glitter Trans-Purple	3A2B82	Glitter	10	49	143	15	2000	2022
116	Speckle Black-Copper	5F4E47	Speckle	5	3	136	6	2006	2006
151	Speckle Black-Gold	AB9421	Speckle	2	4	178	6	2010	2011
111	Speckle Black-Silver	7C7E7C	Speckle	15	49	195	19	2005	2013
117	Speckle DBGray-Silver	4A6363	Speckle	5	7	214	8	2006	2006
142	Mx Aqua Green	27867E	Modulex			20	10		
128	Mx Black	000000	Modulex			156	218		
132	Mx Brown	907450	Modulex			31	28		
133	Mx Buff	DEC69C	Modulex			35	29		
126	Mx Charcoal Gray	595D60	Modulex			14	9		
149	Mx Clear	FFFFFF	Modulex			52	30		
214	Mx Foil Dark Blue	0057A6	Modulex			3	1		
210	Mx Foil Dark Gray	595D60	Modulex			3	1		
212	Mx Foil Dark Green	006400	Modulex			3			
215	Mx Foil Light Blue	68AECE	Modulex			4	1		
211	Mx Foil Light Gray	9C9C9C	Modulex			3			
213	Mx Foil Light Green	7DB538	Modulex			3	1		
219	Mx Foil Orange	F7AD63	Modulex			3	1		
217	Mx Foil Red	8B0000	Modulex			3	1		
216	Mx Foil Violet	4B0082	Modulex			3			
218	Mx Foil Yellow	FED557	Modulex			3			
139	Mx Lemon	BDC618	Modulex			13	22		
124	Mx Light Bluish Gray	AfB5C7	Modulex			18	4		
125	Mx Light Gray	9C9C9C	Modulex			56	47		
136	Mx Light Orange	F7AD63	Modulex			13	5		
137	Mx Light Yellow	FFE371	Modulex			16	14		
144	Mx Medium Blue	61AFFF	Modulex			17	9		
138	Mx Ochre Yellow	FED557	Modulex			19	17		
140	Mx Olive Green	7C9051	Modulex			21	19		
135	Mx Orange	F47B30	Modulex			18	25		
145	Mx Pastel Blue	68AECE	Modulex			23	21		
141	Mx Pastel Green	7DB538	Modulex			28	29		
148	Mx Pink	F785B1	Modulex			12	20		
130	Mx Pink Red	F45C40	Modulex			13	5		
129	Mx Red	B52C20	Modulex			24	29		
146	Mx Teal Blue	467083	Modulex			18	12		
134	Mx Terracotta	5C5030	Modulex			26	30		
143	Mx Tile Blue	0057A6	Modulex			42	107		
131	Mx Tile Brown	330000	Modulex			115			
127	Mx Tile Gray	6B5A5A	Modulex			45			
147	Mx Violet	BD7D85	Modulex			19	7		
123	Mx White	FFFFFF	Modulex			421	425		
